timeStamp,goundSteering, group_14
1652735402402819,0,0
1652735410998385,-0,0
1652735411636191,-0,0
1652735411763726,-0,0
1652735411870153,-0,0
1652735411963328,-0,0
1652735412076504,-0,0
1652735412202721,-0,0
1652735412278510,-0,0
1652735412387285,-0,0
1652735412477435,-0,0
1652735412588517,-0,0
1652735412700481,-0,0
1652735412800268,-0,0
1652735412886042,-0,0
1652735413025524,-0,0
1652735413096794,-0,0
1652735413208027,-0,0
1652735413302054,-0,0
1652735413414217,-0,0
1652735413529625,-0,0
1652735413629054,-0,0
1652735413727882,-0,0
1652735413841296,-0,0
1652735413950789,-0,0
1652735414049716,-0,0
1652735414153186,-0,0
1652735414256256,0.0329887,0
1652735414355962,0.0809714,0
1652735414469824,0.125962,0.268019
1652735414567800,0.173945,0.188738
1652735414672065,0.0929737,0.215358
1652735414777608,0.0779797,0.231616
1652735414870756,0.0239958,0.233374
1652735414983277,0.0179946,0
1652735415084494,0.0209952,0
1652735415199270,0.0209952,0.214061
1652735415295858,0.0749791,0.262254
1652735415410951,0.083972,0.212432
1652735415500236,0.0150029,0.180407
1652735415613894,0.00900175,0.161375
1652735415729057,0.0120023,0.159055
1652735415831175,0.0569845,0.169692
1652735415935673,0.098966,0.237914
1652735416032497,0.125962,0.192048
1652735416136115,0.125962,0.205395
1652735416238249,0.128963,0.138453
1652735416337264,0.128963,0.193358
1652735416453532,0.128963,0.125285
1652735416566432,0.128963,0.178411
1652735416654649,0.125962,0.285161
1652735416760470,0.0809714,0.180682
1652735416860338,0.0719785,0.148001
1652735416959978,0.0749791,0.302215
1652735417061631,0.0749791,0.245673
1652735417157625,0.11396,0.25707
1652735417270083,0.11396,0.213181
1652735417371722,0.116961,0.303895
1652735417476851,0.170945,0.20621
1652735417581435,0.140956,0.357491
1652735417691790,0.122962,0.224449
1652735417795805,0.110968,0
1652735417889558,0.0120023,0
1652735417994141,-0,0
1652735418108458,-0,0
1652735418214874,-0,0
1652735418305519,-0,0
1652735418416824,-0,0
1652735418530435,-0,0
1652735418624143,-0,0
1652735418721860,-0,0
1652735418825766,-0,0
1652735418909703,-0,0
1652735418999879,-0,0
1652735419098699,-0,0
1652735419215755,-0,0
1652735419331282,-0,0
1652735419418600,-0,0
1652735419526923,-0,0
1652735419634351,-0,0
1652735419738829,-0,0
1652735419833765,-0,0
1652735419930836,-0.0119935,0
1652735420065661,-0.0239869,-0.182496
1652735420157641,-0.0779708,-0.199597
1652735420257559,-0.0779708,-0.205799
1652735420359019,-0.119952,-0.218372
1652735420491397,-0.14994,-0.227344
1652735420596363,-0.116952,0.0434509
1652735420665185,-0.0419816,0
1652735420782332,-0.0209863,0
1652735420884850,-0,0
1652735420985837,-0,0
1652735421090112,-0,0
1652735421199035,-0,0
1652735421296949,-0,0
1652735421423447,-0,0
1652735421508504,0.0569845,0
1652735421617924,0.0569845,0
1652735421714416,0.0569845,0
1652735421821404,0.0779797,0
1652735421923738,0.0779797,0.19448
1652735422018440,0.0779797,0.221417
1652735422139737,0.0779797,0.189988
1652735422243560,0.0629856,0
1652735422343016,0.0629856,0
1652735422437763,0.0629856,0
1652735422572534,0.0629856,0
1652735422630900,0.0629856,0
1652735422739028,0.0659773,0
1652735422859785,0.0659773,0
1652735422950709,0.0659773,0
1652735423063053,0.0659773,0.266252
1652735423170351,0.0659773,0.135224
1652735423283983,0.0659773,0.172953
1652735423375833,0.0599851,0.191502
1652735423490182,0.0599851,0.308221
1652735423579857,0.0599851,0
1652735423700120,0.0599851,0.159352
1652735423780146,0.0629856,0.203493
1652735423891814,0.0929737,0.18656
1652735423982127,0.0929737,0.213788
1652735424111754,0.083972,0.187429
1652735424211977,0.0719785,0.209222
1652735424298931,0.0629856,0.208056
1652735424416293,0.0749791,0.201701
1652735424509355,0.122962,0.168597
1652735424626930,0.15295,0.190639
1652735424718359,0.0689779,0.240773
1652735424760597,0.0239958,0.158384
1652735424944339,0.0239958,0
1652735425029039,0.0239958,0
1652735425135466,0.0209952,0.130292
1652735425247954,0.0809714,0.18794
1652735425278758,0.107968,0.291014
