timeStamp,goundSteering, group_14, time
1652789771694386,-0,0,5025
1652789776031109,-0,0,1452
1652789776661302,-0,0,2404
1652789776758572,-0,0,601
1652789776868941,-0,0,1483
1652789776975003,-0,0,2210
1652789777094744,-0,0,2026
1652789777206481,-0,0,910
1652789777300054,-0,0,637
1652789777403813,-0,0,632
1652789777502950,-0,0,674
1652789777600298,-0,0,1434
1652789777720261,-0,0,1776
1652789777815281,-0,0,2183
1652789777921822,-0,0,2120
1652789778027796,-0,0,4311
1652789778136685,-0,0,1042
1652789778227331,-0,0,3298
1652789778354001,-0,0,2115
1652789778437309,-0,0,1435
1652789778533280,-0,0,939
1652789778640574,0.0719785,0.199082,1024
1652789778745411,0.0719785,0.20054,1571
1652789778853535,0.0719785,0.186086,3328
1652789778964057,0.0719785,0.13864,2467
1652789779081123,0.0719785,0.153202,2512
1652789779174065,0.0719785,0.159473,985
1652789779273357,0.0719785,0.175798,661
1652789779376511,0.0749791,0.166446,600
1652789779479278,0.149949,0.178026,574
1652789779579168,0.149949,0.201803,2410
1652789779685400,0.131955,0.199159,3904
1652789779790611,0.0929737,0.204326,643
1652789779889596,0.0659773,0.205284,888
1652789779990671,0.0599851,0,468
1652789780095638,0.0569845,0,674
1652789780197487,0.0569845,0,4259
1652789780306642,0.0749791,0,1332
1652789780408674,0.0749791,0.155289,785
1652789780514742,0.0779797,0.200495,752
1652789780612744,0.0779797,0,2199
1652789780722260,0.0779797,0,1582
1652789780825093,0.0779797,0,1997
1652789780942450,0.101967,0,1667
1652789781038154,0.11396,0,1372
1652789781128777,0.110968,0,1733
1652789781247277,0.11396,0,1871
1652789781346074,0.110968,0,1777
1652789781445634,0.110968,0,2319
1652789781547712,0.110968,0,1754
1652789781665290,0.110968,0,1729
1652789781765923,0.110968,0,3500
1652789781874822,-0,0,2453
1652789781971403,-0,0,812
1652789782079041,-0,0,3440
1652789782171417,-0,0,2501
1652789782287772,-0.113951,-0.152277,4606
1652789782389130,-0,-0.138006,3081
1652789782494810,-0.0179858,-0.167432,4897
1652789782600690,-0.0509744,-0.181509,2305
1652789782690025,-0,-0.200449,2288
1652789782805453,-0,-0.182349,1863
1652789782912847,-0,-0.196777,2261
1652789783011701,-0.0899643,-0.202448,4388
1652789783139926,-0.143948,-0.204799,4698
1652789783241247,-0.143948,-0.203845,705
1652789783319229,-0.18593,-0.208162,581
1652789783412885,-0.0899643,-0.210668,587
1652789783524219,-0.0899643,-0.21123,977
1652789783624893,-0,-0.21158,912
1652789783670965,-0,0,2261
1652789783838183,-0,0,1033
1652789783893476,-0,0,1341
1652789783985479,-0.0239869,0,1291
1652789784099673,-0.14694,0,1426
1652789784192010,-0,0,915
1652789784308023,-0,0,2938
1652789784448904,-0,0,721
1652789784532908,-0,0,955
1652789784619887,0.146949,0,1607
1652789784750604,-0,0.201641,5730
1652789784874984,-0,0.178793,990
1652789784939113,-0,0.200419,1237
1652789785052670,0.161943,0.200484,647
1652789785135769,0.143957,0.207204,1423
1652789785261492,0.0929737,0.202435,976
1652789785373490,0.0569845,0.203596,2534
1652789785460996,0.0269964,0,2438
1652789785566131,0.0179946,0,3161
1652789785707748,0.0120023,0,2217
1652789785809982,0.0599851,0,1269
1652789785858958,0.0809714,0.208417,665
1652789785966666,0.0899731,0.207728,581
1652789786069038,0.206934,-0.32289,576
1652789786188371,0.236922,0.166086,587
1652789786306286,0.242914,0.203625,2440
1652789786419039,0.0959743,0,3300
1652789786525160,0.0179946,0,584
1652789786587376,-0,0.209978,1272
1652789786698528,0.0120023,0,1217
1652789786801135,0.0509833,0,2841
1652789786905995,0.0509833,0,1820
1652789787035833,0.00300058,0,611
1652789787115568,0.0239958,0,658
1652789787238632,0.029997,0,784
1652789787333434,0.0120023,0,768
1652789787424968,-0,0,2778
1652789787526840,-0,0,1007
1652789787625558,-0,0.118092,569
1652789787746245,0.131955,0.154108,698
1652789787849432,0.251916,0.138287,992
1652789787941149,0.290888,0.156146,1117
1652789788059019,0.290888,0.149479,2502
1652789788179668,0.185939,0.184481,2120
1652789788271466,-0,0.191184,1164
1652789788373285,-0,0,1429
1652789788478525,-0,0,1809
1652789788579347,-0,0,2724
