timeStamp,goundSteering, group_14, time
1584543153026567,0,0,1884
1584543153527171,-0,0,751
1584543153627059,-0,0,649
1584543153726937,-0,0,604
1584543153824849,-0,0,602
1584543153924685,-0,0,743
1584543154024633,0.0150029,0,599
1584543154125140,0.0749791,0,608
1584543154226883,0.0749791,0,855
1584543154324615,0.0659773,0,692
1584543154427245,0.0659773,0,933
1584543154524661,0.0629856,0,799
1584543154625490,0.0659773,0,669
1584543154726542,0.0659773,0,2858
1584543154824699,0.0659773,0,7790
1584543154924791,0.0659773,0,2826
1584543155024622,0.0659773,0,781
1584543155124660,0.0659773,0,1397
1584543155230154,0.0659773,0,1375
1584543155324559,0.0659773,0,2719
1584543155424526,0.0239958,0,1801
1584543155524320,-0,0,589
1584543155625483,-0,0,718
1584543155726937,-0,0,617
1584543155824256,-0,0,651
1584543155924467,-0,0,1306
1584543156027088,-0,0,620
1584543156124496,-0,0,747
1584543156226583,-0,0,6349
1584543156324612,-0,0,635
1584543156425245,-0,0,634
1584543156524355,-0,0,4879
1584543156624896,-0,0,619
1584543156726057,-0,0,688
1584543156827240,-0,0,785
1584543156924110,-0,0,1070
1584543157024046,-0,0,1632
1584543157124190,-0,0,2410
1584543157225964,-0,0,3366
1584543157323968,-0,0,1287
1584543157424131,-0,0,2082
1584543157523936,-0,0,1586
1584543157624792,-0,0,1109
1584543157726186,-0,0,1144
1584543157823950,-0,0,2049
1584543157923955,-0,0,1283
1584543158024150,-0,-0.214812,1482
1584543158123962,-0.0329798,-0.211017,1698
1584543158225965,-0.0809625,-0.203643,2019
1584543158324029,-0.0809625,-0.201608,1759
1584543158423960,-0.0809625,-0.205501,1651
1584543158523887,-0.0809625,-0.205052,467
1584543158625049,-0.0809625,-0.201687,675
1584543158725863,-0.0809625,-0.206625,741
1584543158823937,-0.0809625,-0.201311,608
1584543158923935,-0.0809625,-0.208089,617
1584543159023732,-0.0809625,-0.169413,976
1584543159123900,-0.0809625,-0.191013,755
1584543159226086,-0.0809625,-0.150003,1785
1584543159323608,-0.0779708,-0.120173,895
1584543159424094,-0.0809625,-0.131883,1549
1584543159523941,-0.0809625,-0.118632,1723
1584543159624597,-0.0899643,-0.183298,1031
1584543159725498,-0.0899643,-0.154601,548
1584543159823916,-0.0929649,-0.101063,1135
1584543159923893,-0.0989571,-0.109224,937
1584543160023702,-0.0989571,-0.111441,2136
1584543160123880,-0.113951,-0.152962,2756
1584543160225528,-0.152941,-0.140375,882
1584543160323703,-0.155942,-0.121143,1162
1584543160426724,-0.167935,-0.124355,1736
1584543160523644,-0.218918,-0.157715,823
1584543160624063,-0.248906,-0.20262,1206
1584543160726031,-0.245906,-0.208349,3147
1584543160823369,-0.215918,-0.209544,912
1584543160923305,-0.179929,-0.209804,2325
1584543161023901,-0.182929,-0.209291,5897
1584543161123679,-0.170936,-0.217587,1799
1584543161230099,-0.0929649,0,771
1584543161324087,-0,0,1298
1584543161423220,-0,0,1665
1584543161523282,-0,0,1302
1584543161624367,0.0749791,0,1238
1584543161725378,0.0599851,0,1993
1584543161823435,-0,0,2675
1584543161923272,-0,0,955
1584543162023121,-0,0,1283
1584543162123252,-0,0,1892
1584543162225450,-0,0,4522
1584543162323322,-0,0,2651
1584543162423001,-0,0,657
1584543162523582,-0,0,1549
1584543162623600,-0,0,644
1584543162725145,-0,0,1350
1584543162823317,-0,0,3694
1584543162922881,-0,0,8155
1584543163022852,-0,0,464
1584543163123027,-0,0,1987
1584543163225186,-0,0,2497
1584543163322807,-0,0,477
1584543163422946,-0,0,957
1584543163522727,-0,0,5852
1584543163623407,-0,0,724
1584543163725035,-0,0,2077
1584543163822699,-0,0,1191
1584543163922666,-0,0,824
1584543164022820,-0,0,867
1584543164125310,-0,0,1439
1584543164230181,-0,0,1424
1584543164323081,-0,0,1747
1584543164422577,-0,0,2969
1584543164522551,-0,0,631
1584543164623376,-0,0,873
1584543164724669,-0.00899288,0,1476
1584543164822515,-0.0329798,0,1872
1584543164922664,-0,0,1653
1584543165022455,-0,0,2299
1584543165122525,-0,0,1717
1584543165224889,-0,0,1759
1584543165322466,-0,0,1483
1584543165422395,-0,0,1929
1584543165522665,-0,0,1997
1584543165623109,-0,0,1540
1584543165728985,-0,0,1488
1584543165822549,-0,0,1048
1584543165922304,-0,0,2080
1584543166022267,-0,0,1121
1584543166122506,-0,0,1120
1584543166224484,-0,0,2002
1584543166322485,-0,0,984
1584543166422565,-0,0,1687
1584543166525138,-0,0,1247
1584543166626262,-0,0,2180
1584543166725755,-0.0239869,0,1602
1584543166822204,-0,0,2654
1584543166922442,-0,0,2810
1584543167022669,-0,0,1032
1584543167122301,-0,0,3439
1584543167224209,-0,0,1587
1584543167322854,-0,-0.161375,1860
1584543167422067,-0,-0.166478,2604
1584543167522071,-0.00299171,-0.139786,1005
1584543167622945,-0.137947,-0.145258,1852
1584543167725298,-0.131946,-0.098223,844
1584543167822154,-0.131946,-0.0877371,5731
1584543167922114,-0.131946,-0.102154,638
1584543168021936,-0.131946,-0.12144,4981
1584543168124766,-0.122953,-0.07792,878
1584543168224773,-0.122953,-0.108328,1109
1584543168321937,-0.122953,-0.170883,1794
1584543168422194,-0.122953,-0.08958,5785
1584543168522063,-0.122953,-0.081452,711
1584543168622776,-0.122953,-0.123266,1807
1584543168724343,-0.122953,-0.145811,1150
1584543168822071,-0.14994,0,1776
1584543168922030,-0.200924,-0.141897,1316
1584543169021928,-0.209925,-0.176276,2265
1584543169122362,-0.200924,0,3420
1584543169224065,-0,0,1069
1584543169321904,-0,0,3195
1584543169422125,-0,0,1925
1584543169521871,-0,0,1056
1584543169625544,-0,0,2144
1584543169724795,-0.125954,0,2118
1584543169821630,-0.125954,0,1565
1584543169921651,-0,0,2533
1584543170021694,-0,0,1931
1584543170121665,-0,0,1821
1584543170223659,-0,0,1565
1584543170321820,-0,0,1830
1584543170424400,-0,0,1601
1584543170524693,-0.0989571,0,1339
1584543170622671,-0.0839631,0,2456
1584543170723513,-0,0,1410
1584543170821443,-0,0,1136
1584543170921629,-0,0,2338
1584543171021362,-0,0,916
1584543171121331,-0,0,1317
1584543171223556,-0,0,2599
1584543171321311,-0,0,1621
1584543171421385,-0,0,2254
1584543171521948,-0,0,11322
1584543171622053,-0,0,2296
1584543171723503,-0.00899288,0,1528
1584543171821523,-0,0,1643
1584543171921462,-0,0,2851
1584543172021257,-0,0,541
1584543172121341,-0,0,1079
1584543172223223,-0,0,904
1584543172321124,-0,0,2653
1584543172421305,-0,0,1405
1584543172521101,-0,0,1848
1584543172621673,-0,0,1617
1584543172723294,-0,0,1162
1584543172821063,-0,0,1375
1584543172920946,-0,0,764
